;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
0;Jogurty ;2.46;2018-11-10;szt;JOGURT ZOTT NATURALNY B/CUK.180 g;5906040063089;0.42;060802;5;0.180;000337;2.000
1;Indyk Waga [z];23.99;2018-11-10;kg;ŻOŁĄDKI Z INDYKA kg;2900036000000;2.32;040102;5;1.000;000349;1.972
2;Piwo w butelce;4.70;2018-11-10;szt;PIWO ZATECKY SVETLY LEZAK 500ml BUT.ZW.;5900014003019;1.04;010301;23;0.500;000418;2.000
3;Piwo w butelce;7.89;2018-11-10;szt;PIWO DESPERADOS NOCTURNO 7% 400ml BUT.BZW.;5900699102229;2.45;010301;23;0.400;000505;2.000
4;Warzywa okopowe [z];16.82;2018-11-10;kg;ZIEMNIAK kg;5908235952925;6.41;090703;5;1.000;000865;11.972
5;Masło;6.37;2018-11-10;szt;MASŁO KLASYCZNE VALIO 200 g;6408432061639;1.35;060303;5;0.200;000925;1.000
6;Przekąski;3.19;2018-11-10;szt;CHRUPKI STAR PIZZA 125 g;5900259087560;1.49;120101;5;0.125;001115;1.000
7;Ciastka;4.06;2018-11-10;szt;CIASTKA KRAKUSKI SERDUSZKA 171 g;5901414204525;0.94;121104;23;0.171;001200;1.000
8;Ciastka;4.06;2018-11-10;szt;CIASTKA KRAKUSKI FLORIANKI 171 g;5901414204518;1.54;121104;23;0.171;001208;1.000
9;Śmietany;18.05;2018-11-10;szt;ŚMIETANA ZOTT NATURA. 18% 330 g KUBEK;5906040063263;7.90;060805;5;0.330;001327;5.000
10;Papierosy;48.74;2018-11-10;szt;PAPIEROSY ROTHMANS BLUE SSL X20;59067740;2.74;030103;23;20.000;002145;5.000
11;Warzywa Pakowane;9.34;2018-11-10;szt;WŁOSZCZYZNA TACKA 500g;2469600000000;0.58;090402;5;0.500;002227;4.000
12;Napoje typu Izotoniki, energetyki;2.00;2018-11-10;szt;NAPÓJ ENERGET.BURN ORIGINAL 250ml;5060466519404;0.40;070304;23;0.250;002416;1.000
13;Przekąski;4.58;2018-11-10;szt;CHIPSY LAY'S Z PIECA JOGURT Z ZIOŁ 130 g;5900259089632;1.29;120101;8;0.130;002675;1.000
14;Dodatki do ciast;15.00;2018-11-10;szt;CUKIER Z WANILIĄ BOURBON DR OETKER 12 g;5900437082738;4.00;120903;23;0.012;002869;5.000
